юкъарча,111
дешара,461
школашта,19
лаьрхӏа,1286
книжка,677
класс,96
муфтиятои,3
министерствоси,3
гӏ,17
Магас,110
шу,3093
дешархошка,27
ду,1672
кхайкарал,1
сай,2363
цӏерагӏа,182
берригача,215
вай,15770
мехкарча,231
бусалба,995
наьха,2881
даькъала,440
дувц,1067
шо,3361
керда,1330
дӏадоладаларца,5
цунца,1448
цхьана,1113
дина,193
ӏилма,302
ӏомадаргахьа,5
укх,5248
шера,4798
оаша,533
боккха,1153
мул,66
боаккхаргболаш,6
хиларца,282
доккхий,247
хиннад,2528
хӏаьта,7618
хӏанзарчулла,1
тӏехьагӏа,3128
шоай,5820
диках,43
вонах,51
шоашкара,97
хоаттаргдола,1
ха,5718
хьаэттай,26
шун,1840
цӏаккха,847
дагара,208
ца,18364
доалийташ,34
дийна,878
мелав,2
леладе,264
дезар,590
кхоана,668
дийнахьа,2639
духьала,1341
эттача,383
даьча,596
дикаех,11
вонех,8
ше,9155
тела,97
дезача,206
жопех,1
йола,3565
уйла,2672
дагалоаттаяр,1
да,19879
жайна,7
тӏара,2663
наха,6992
ханза,27
даргдоацача,10
ӏилмах,24
цхьаболча,146
дукха,7564
хӏама,10668
ӏомадергда,15
догдоах,28
эца,498
ма,15868
беззара,16
жайнах,1
пайда,1517
эцар,89
шоашта,2135
хьехаш,235
болча,2133
ӏаламнаьха,3
хьурмат,45
дир,755
мехка,3619
дай,431
хиладезараш,1
тоаденна,25
беррига,441
мохк,1296
тоабенна,27
хургба,576
Лакхахиннаволча,17
дех,241
аз,9625
дуне,1200
къемата,69
ди,2452
гарга,447
сийдолаш,93
хургдолчча,2
бесса,503
хилийтар,58
дингахьа,5
беркатагахьа,7
совбоаккалба,1
моаршо,24
лойла,13
ерригача,282
Даькъастенна,4
дерригача,504
салот-салам,104
хилда,1337
цунна,6834
уммата,35
Ибрахӏим,227
Ибрахӏим-Пайхамар,14
эггара,2050
безагӏа,10
пхе,129
элчанах,6
цаӏ,2120
ва,10356
доттагӏа,328
ваь,448
из,43051
лацарца,5
цун,11254
цӏи,2894
яьккхай,181
Халилур-Рахьман,1
аьнна,10215
ваьв,231
Бабил,1
Вавилон,1
яхача,3245
заман,442
чухьа,268
паччахь,189
волаш,2479
хиннав,1888
Намруз,3
бина,7
Канӏан,8
мел,5937
цӏувнаш,27
жӏаргаш,21
кулгашца,127
хьа,8076
деш,5000
тӏаккха,5742
царна,4279
уж,13770
тха,2713
ба,8626
яхаш,3831
ӏибадат,196
тилар,19
доккха,1654
дола,4573
зама,545
хиннай,1725
чӏоагӏа,4967
шийна,4783
мутӏахьа,294
долаш,5372
адам,668
дайча,108
Намруза,4
аьннад,1609
нахага,858
гӏулакх,3933
дарца,161
керастал,355
де,4320
доладеннад,65
Намрузана,1
гӏа,786
дайнад,163
хьакхийттача,15
седкъано,1
маьлхи,1
бетти,1
нур,21
доадеш,66
кхеравеннача,6
паччахьо,113
бозбуачалцеи,1
каьл,5
хьежарцеи,1
нах,7734
гул,54
баь,1445
дашхийтад,1
ӏодаьча,3
беро,91
хьои,43
дезали,20
хӏалак,63
дын,80
хувцаргда,11
амар,288
цу,16794
ӏо,1371
даь,3021
маӏа,202
бер,1126
дувргдолаш,2
вахаш,398
Азар,3
яха,4045
саг,9578
тешамегӏа,19
вола,1614
сесаго,210
дезалхо,213
вергволга,4
гучадаьлча,35
Варкаъ,1
Куфа,1
Басра,1
шин,1111
шахьара,173
юкъе,5052
метте,845
дӏа,4240
йига,111
лочкъаяь,23
тола,36
чу,5988
хоаяьй,3
цо,14506
ший,14606
сесаг,784
верах,31
ӏовергвола,1
лоравар,9
духьа,932
волча,2705
хана,7548
денз,1644
нийсавалар,2
хӏаман,547
яр,4280
тохкам,68
бар,3209
нахаца,755
кӏаьда-мерза,11
хилар,5025
денна,1184
замангахьа,12
чулеладеш,1
цхьа,6121
цӏа,1094
цига,3192
бахе,51
корта,1696
бетташ,203
жӏаргаши,3
цӏувнаши,2
дувхкаш,1
Ибрахӏима,145
ховра,214
дас,838
дешдола,19
тӏойх,5
даьлга,29
цар,8662
адама,282
зе,575
боацалга,23
хозаш,307
гуш,1375
доацаш,2399
кхыметтел,373
ӏотӏахайна,3
моза,80
шоаех,126
дӏаэккхабе,1
хьалхашка,1210
латтача,1096
шунах,9
дахка,158
юхатоха,80
низ,1945
боацача,263
жӏаргашкара,1
хила,4045
фу,6957
Сигалений,1
лаьттений,1
маьлха,495
бетта,1361
седкъарчий,3
кхеллача,136
кхолламана,3
ваьлча,417
дикадарца,1
хайтар,19
деррига,1685
кхеллар,61
мара,5503
воацалга,24
адамо,49
лерхӏалга,2
харцахьа,393
долга,505
даьна,471
хьехам,436
бе,2483
ваьннав,209
жӏаргашта,12
дӏахайташ,26
дукхагӏа,1561
бу,855
укхунна,243
эгӏаз,110
ахаргахьа,1
совбувлаш,7
хиннаб,1438
дохаде,65
чӏоагӏо,321
йир,286
дохадеш,47
жӏаргий,2
кхачар,44
бӏаргадайча,141
дикагӏа,1288
кхетар,78
догдоахаш,211
цӏай,469
дезде,61
цӏеношкара,29
ара,1113
баьнна,634
дӏабахача,71
цӏагӏа,2270
ӏийна,38
чудолча,8
чувахав,19
сов,1048
деча,658
керасталах,16
эгӏазвахача,47
доккхагӏа,115
жӏарг,40
дуташ,137
дерригаш,178
дохадаьд,20
дийтта,79
диг,103
доккхагӏчунна,2
ӏокач,2
эллад,6
дездаь,13
чубоагӏа,26
чубахача,13
бӏаргадайнад,39
кач,107
улаш,28
латта,1013
доккхагӏадар,3
доаца,340
дохадаь,52
эгӏазне,35
хаьттад,330
даьлашца,4
ер,6108
даьр,524
малав,664
яппараш,71
еш,1797
бахьан,2513
Ибрахӏимах,1
дегбуам,2
баьб,444
вий,938
доккхагӏчо,1
даьд,1113
цунга,2094
дӏахатта,32
къамаьл,2643
дале,1600
качъулача,1
пӏелг,332
тӏахьекхаб,1
ховш,2807
кхерех,15
жӏаргаша,4
делга,56
хьона,7692
хой,654
жоп,1732
деннад,352
доацача,266
беш,2709
мишта,2918
шоаш,2429
леладер,328
нийса,877
доацалга,42
кхета,317
юхабаьннача,2
шайтӏано,8
юха,2855
тувладаьд,3
дагтассад,2
хозалга,8
хьалхагӏа,394
хинналга,364
барт,813
цӏералла,20
кхесса,97
воагавергволаш,1
баьча,306
бартах,22
цӏераца,23
ӏазап,703
далар,222
кхессав,2
чукхоссача,3
цӏерага,26
маьрша,840
шийла,522
хилалахь,180
гучадаьлар,89
цӏеро,60
Ибрахӏим-Пайхамара,16
цецбаьнна,46
хьайре,17
цӏера,214
балийха,10
волга,486
кераста,363
ӏазапах,103
кӏалхара,344
ваьккхалга,2
лергвоацаш,12
даима,678
юхе,968
вусаргволаш,4
дӏаваргвоацаш,2
массадолча,250
хӏаманна,424
кхоачаш,718
ӏалам,430
кхелла,330
кхоабаш,204
леладешвар,1
Ибрахӏимга,10
дӏакхайкаде,17
дирах,51
аьлча,3714
йиш,3130
яц,2866
оалаш,1345
со,12490
нийсавешвар,1
сона,7893
дуадеш,5
моладешвар,1
цамогаш,269
хилча,2913
дарба,573
дешвар,6
кхолхаваь,1
дийнвергволашвар,1
белхаех,5
цхьаккха,1589
карагӏа,44
доалилга,7
царгара,163
дика,6673
доацилга,119
хьалхадоахар,17
дӏахазад,2
дира,57
тӏахьехаш,62
кхайкав,28
тӏавоалаве,7
дийнвешвар,1
дӏакхолхавешвар,2
дийнвеш,5
вувш,89
цхьан,3142
сагага,402
тӏавеча,22
теха,1136
вийнав,190
цавувш,1
вита,186
вийра,44
вож,801
дийнавитар,1
хайнад,86
къамаьлах,137
кхетам,514
боацаш,1476
ӏовдал,113
малхбоалехьара,14
малх,1202
хьабоалабер,1
хьакхетийташвар,1
ӏа,7827
малхбузехьара,15
хьабоалабел,1
хьакхетийтал,1
дешо,133
корзагӏваьккха,3
Намруз-Паччахь,1
юхьӏаьржча,5
этта,522
дала,4222
висав,91
даьга,193
паччахьага,26
цӏенча,11
динга,2
дувла,60
даӏватах,6
цох,3241
йоккха,1325
гӏайгӏа,405
хинна,4500
мехкара,404
дӏаваха,235
лаьрхӏад,173
Даьлаца,65
бахар,377
дӏабахаб,77
дӏавахав,60
Лувтӏ,3
Ибрахӏим-Пайхамараца,2
има,105
дила,68
веший,305
воӏ,1592
везваьв,6
Шаьма,15
дӏавахачул,10
варца,15
хьалха,3952
Хьиран,1
сайцаб,14
кхалхав,17
Ибрахӏимца,5
хьавена,46
цигара,562
бахаб,122
яьккхача,175
Ибрахӏими,15
Сараи,2
Мисаре,30
Египет,2
кхаьчаб,43
пирӏовнех,1
пирӏов,4
Пирӏовнага,1
хабар,311
саги,171
куст,24
кхалсаги,28
кхайка,181
тӏа,15404
вийха,67
хьоцара,84
кхалсаг,971
малий,73
хаьттача,300
йиша,323
Пирӏовно,1
тӏаяйтаргйолаш,1
хьо,11512
тӏаех,1
са,10839
хӏана,3112
жайно,4
хьох,617
лоархӏ,215
шиъ,703
гуча,249
даккхалахь,12
дӏаяхийтай,8
куст-сибат,4
хоза,3665
бӏаргаяйча,143
тӏакховда,7
кулг,1632
айдаьд,11
кхайкай,6
дуӏа,288
пирӏовна,1
зуламах,46
яккхар,54
дехаш,297
накхага,4
кхаччалца,667
хьалъайдаьчча,3
докъа,9
дисад,137
воаккхаш,78
хьай,2378
дехаре,6
кхы,6218
зулам,397
дергдацар,31
хьоставеннав,2
Сарайга,2
Сарас,5
дийхад,54
везан,136
бакълуй,11
лазарах,127
мукъавита,2
дуӏийна,6
луш,1487
ваьккхав,51
Сарайна,1
совгӏата,141
ӏунал,85
дергдолаш,135
Мисарерча,8
къубтӏий,2
къамах,390
Хӏажар,22
еннай,219
баьхкача,200
дӏадийцад,43
енна,517
лу,729
цунгара,298
хилийта,260
мег,377
хулаш,1083
хиннаяц,226
Хӏажарах,1
беркат,406
даьккхад,95
Исмаӏал-Пайхамар,2
Мисарера,7
ваьнна,956
дезалца,115
Сабаӏ,1
ваха,2533
хьоахадар,2
дагалоаттадар,1
сага,3877
суннат,175
морзонаш,2
дӏатедашдар,1
валар,394
хьехадар,1
вале,952
воккха,934
могаш,771
веце,253
дагалоаттадарца,1
тоба,134
хьакъ,143
дӏадаларца,13
валара,76
кийча,611
тӏехьа,3334
хьалхадалар,3
зӏамига,1714
тӏехьадалар,4
малагӏчунга,2
кхоачаргья,13
къайлах,4
кхел,572
воккхавар,13
юхевусаш,1
зӏамагӏавар,1
дӏакхалхав,2
хьаькъалегӏавар,1
хьехадер,1
лергволга,3
белгалдаьлча,4
аьтта,283
оагӏув,394
кӏала,448
болаш,3692
юхь,768
йолаш,3900
лешвар,1
ӏовилар,1
санна,6984
иштта,6793
ӏовила,1
аьттув,1592
беце,158
аркъала,39
ӏовуларгва,2
кога,288
кӏоажош,10
кӏеззига,781
хьалъайбаьча,2
керта,579
ерзаяь,36
саго,1104
иллаллоахӏу,9
дош,2427
лечоа,1
кӏорда,68
дайташ,53
наг-нагахьа,74
ше-шийца,179
хозийташ,9
яхаргда,33
долча,2312
къамаьлал,4
тӏеххьара,488
хургдолаш,268
лешвола,1
хургволаш,87
дагтассар,5
лечарна,1
дагтасса,1
гӏоргхилар,6
белгало,271
дунен,2366
хиннар,842
гӏоргва,166
суврату,3
Ясин,3
дешар,423
леча,53
деша,2052
тоаваларах,5
дог,3642
дилача,20
хозйойла,2
къиношта,49
гештдергда,8
шийх,504
къахетамбергба,1
даларал,4
чӏоагӏагӏа,489
къахетамбарга,1
догдахарца,2
хозъяр,1
къудуси,3
хьадиса,34
